name,team21,pos21,gp_21,points21,owned22,projected22,actual21,passyd_21,passtds21,int21,runyds21,runtds21,run1st21,rec21,recyds21,rectds21,pass1st21,returnyds21,returntds21,twopoint21,fumble21,pick21,salary21,gp20,points20,owners21,project21,actual20,passyds20,passtd20,passint20,rushyds20,rushtd20,rush1st20,recepts20,recyds20,rectd20,rec1st20,returnyds20,returntd20,pt20,fumble20,pick20,salary20,gp19,points19,owners20,project20,actual19,passyds19,passtd19,passint19,rushyds19,rushtd19,rush1st19,recepts19,recyds19,rectd19,rec1st19,returnyds19,returntd19,pt19,fumble19,pick19,salary19
Malik Turner,SF,WR,14,53.93,0%,1868,359,0,0,0,0,0,0,12,149,3,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,15,49.330002,0,-,362,0,0,0,0,0,0,15,245,1,10,0,0,0,0,,
Marcus Johnson,SF,WR,7,45.369999,0%,2407,380,0,0,0,-2,0,1,9,160,0,7,179,0,0,0,,,11,42,0,1962,388,0,0,0,0,0,0,14,255,0,11,0,0,0,0,,,8,64.870003,0,-,329,0,0,0,0,0,0,17,277,2,12,14,0,0,0,,
Brandon Aiyuk,SF,WR,17,210.57001,86%,86,107,0,0,0,17,0,0,56,826,5,37,208,0,1,1,80,12,12,214.17,93,52,84,0,0,0,77,2,3,60,748,5,43,26,0,0,0,191,1,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud III,SF,WR,16,189.27,0%,2462,126,0,0,0,15,0,0,39,277,0,18,1143,0,0,1,,,16,128.03,0,2399,209,0,0,0,65,0,1,20,77,0,3,944,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,SF,WR,16,383.63,100%,22,9,24,1,0,365,8,21,77,1405,6,51,75,0,0,2,110,4,7,89.669998,90,88,287,0,0,0,26,0,1,33,391,1,19,0,0,0,0,143,5,15,199.37,87,-,114,0,0,0,159,3,5,57,802,3,32,0,0,1,1,80,3
Freddie Swain,Sea,WR,17,115.97,0%,1914,248,0,0,0,32,0,2,25,343,4,12,189,0,0,0,,,16,59.299999,0,2326,354,0,0,0,0,0,0,13,159,2,6,137,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Tyler Lockett,Sea,WR,16,259.53,86%,97,63,0,0,0,9,0,0,73,1175,8,41,3,0,1,0,44,20,16,308.17001,96,48,24,0,0,0,0,0,0,100,1054,10,57,9,0,0,0,79,22,16,303.47,97,-,22,0,0,0,-5,0,0,82,1057,8,53,345,0,0,0,96,28
Marquise Goodwin,Sea,WR,14,60.77,0%,2094,343,0,0,0,-1,0,0,20,313,1,12,0,0,0,0,65,3,,,,,,,,,,,,,,,,,,,,,,9,44.900002,1,-,374,0,0,0,15,0,1,12,186,1,10,0,0,0,0,205,1
DK Metcalf,Sea,WR,17,284.07001,95%,62,44,0,0,0,6,0,0,75,967,12,48,0,0,0,0,26,41,16,310.87,100,23,23,0,0,0,0,0,0,83,1303,10,63,0,0,0,1,41,24,16,210.10001,97,-,105,0,0,0,11,0,0,58,900,7,39,0,0,1,3,170,1
Tyler Johnson,TB,WR,17,75,0%,2070,312,0,0,0,0,0,0,36,360,0,14,10,0,0,0,,,14,48.27,1,1993,377,0,0,0,0,0,0,12,169,2,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Russell Gage,TB,WR,14,182.33,62%,99,138,0,0,0,0,0,0,66,770,4,37,0,0,0,2,191,1,16,213.86,29,195,85,39,1,0,9,0,1,72,786,4,50,0,0,0,0,,,16,110.33,2,-,240,0,0,0,12,0,0,49,446,1,25,-6,0,0,1,,
Chris Godwin,TB,WR,14,274.63,87%,104,51,0,0,0,21,1,4,98,1103,5,55,0,0,0,2,87,18,12,220,98,31,76,0,0,0,0,0,0,65,840,7,43,0,0,0,0,37,37,14,312.67001,100,-,17,0,0,0,8,0,0,86,1333,9,63,0,0,1,0,82,24
Antonio Brown,TB,WR,7,139.92999,1%,320,214,0,0,0,6,0,0,42,545,4,29,0,0,0,0,106,9,8,136.2,78,112,193,0,0,0,-2,0,0,45,483,4,27,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,3,40
Julio Jones,TB,WR,10,86.93,46%,161,290,0,0,0,0,0,0,31,434,1,19,0,0,0,0,36,21,9,162.39999,98,42,157,0,0,0,0,0,0,51,771,3,36,0,0,0,0,21,45,15,316.63,100,-,14,0,0,0,-3,0,0,99,1394,6,77,0,0,0,0,30,52
Mike Evans,TB,WR,16,313,100%,15,29,0,0,0,10,0,1,74,1035,14,56,0,0,0,0,53,23,16,296.07001,99,34,31,0,0,0,0,0,0,70,1006,13,55,0,0,0,0,35,28,13,264.13,100,-,47,0,0,0,0,0,0,67,1157,8,54,0,0,1,0,46,39
Robert Woods,Ten,WR,9,161.67,69%,112,177,0,0,0,46,1,1,45,556,4,34,0,0,1,0,39,27,16,276.89999,96,39,39,0,0,0,155,2,9,90,936,6,46,0,0,0,1,78,14,15,256.10001,95,-,50,0,0,0,115,1,5,90,1134,2,54,0,0,0,0,33,27
Terry McLaurin,Was,WR,17,236.39999,98%,36,88,0,0,0,12,0,1,77,1053,5,47,0,0,0,0,88,28,15,247.53,99,24,54,0,0,0,30,0,2,87,1118,4,51,0,0,0,1,91,11,14,218.27,96,-,96,0,0,0,0,0,0,58,919,7,43,0,0,0,0,,
Cam Sims,Was,WR,14,56.77,0%,2050,351,0,0,0,7,0,0,15,211,2,11,0,0,0,0,,,16,90.300003,1,1797,284,0,0,0,5,0,0,32,477,1,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
